family,variable,n_non_missing,corr,abs_corr
rain,rain_3day_max,80,0.651152416163749,0.651152416163749
rain,rain_1day_max,80,0.6511368293858825,0.6511368293858825
rain,rain_3day_mean,80,0.6268156582569326,0.6268156582569326
rain,rain_1day_sum,80,0.6134857227997911,0.6134857227997911
rain,rain_5day_max,80,0.6122053352755952,0.6122053352755952
rain,rain_5day_mean,80,0.5931767765198325,0.5931767765198325
rain,rain_7day_max,80,0.5552405246457569,0.5552405246457569
rain,rain_7day_mean,80,0.5076091350453525,0.5076091350453525
rain,rain_14day_max,80,0.3844088099665114,0.3844088099665114
rain,rain_14day_mean,80,0.3289475959893222,0.3289475959893222
rain,rain_before_peak,56,0.2543312645033105,0.2543312645033105
api,api_k_0_90_max,80,0.4914853779828255,0.4914853779828255
api,api_k_0_90_mean,80,0.4338203536760776,0.4338203536760776
api,api_k_0_95_max,80,0.412964514895443,0.412964514895443
api,api_k_0_95_mean,80,0.35129717525967985,0.35129717525967985
