event_id,center_date,is_flood_event,window_n_days,flood_label_in_window,storm_min_distance_km,storm_within_300km,rain_3day,api_k_0_90,duration_above_90,area_above_90,tp_6h_intensity_mm_hr_max,RH2M_max,RH2M_mean,WS2M_max,WS2M_mean
N038,1/18/99,0,5,0,,0,16.40963242,30.57847327,0,0,0.173428289,82.45,73.634,1.46,1.28
F011,7/12/99,1,5,1,,0,54.15395231,121.9298259,3,0.094867665,3.276364778,89.66,84.172,2.82,2.02
F012,9/29/99,1,5,1,,0,198.0187766,213.0073305,3,0.286310195,6.796077188,95.61,89.802,4.68,2.886
F013,10/5/99,1,5,1,110.5154716,1,203.5548593,317.362526,5,0.437563752,4.407028398,96.06,91.35,4.49,3.592
N039,3/10/00,0,5,0,,0,21.34518091,32.48512058,0,0,2.420945948,75.6,71.728,3.7,2.452
N040,4/9/00,0,5,0,,0,22.75494764,36.86283004,0,0,1.898465025,77.21,72.556,3.51,2.518
N041,11/27/00,0,5,0,,0,11.29758594,37.98848064,0,0,0.480023092,89.11,85.768,2.35,1.872
F014,5/22/01,1,5,1,,0,51.29377792,72.05520974,1,0.021619155,3.715839207,80.85,70.33,2.88,2.226
N042,8/2/01,0,5,0,1198.623503,0,17.60353723,55.44605836,0,0,1.282674532,79.55,78.134,2.26,1.99
N043,7/23/02,0,5,0,,0,33.90956087,84.73888083,0,0,1.348799703,87.19,84.88,2.04,1.506
N044,8/28/02,0,5,0,8142.386121,0,8.221272419,29.03358026,0,0,0.377239464,82.3,76.35,1.79,1.476
N045,1/8/03,0,5,0,,0,19.659449,28.41835255,0,0,1.132245013,87.79,84.912,2.59,1.88
F015,4/8/03,1,5,1,,0,46.88663957,55.86872727,0,0,4.644295108,71.3,59.272,4.48,2.588
N046,8/11/03,0,5,0,,0,8.048233257,24.42410616,0,0,0.887356985,78.62,75.266,1.87,1.612
F016,9/28/03,1,5,1,521.4643558,0,190.7008811,227.520227,3,0.285451227,7.103343582,93.62,90.31,3.63,2.41
F017,2/24/04,1,5,1,,0,5.698036684,15.84263177,0,0,0.423408405,76.75,70.152,2.84,2.294
F018,4/24/04,1,5,1,,0,23.2613017,40.327171,0,0,1.465296882,77.17,68.074,2.65,2.19
F019,4/29/04,1,5,1,,0,115.0394205,129.1469176,4,0.235185483,8.547824288,84.24,75.486,4.02,2.544
F020,10/22/06,1,5,1,,0,80.20548002,138.8069707,3,0.209056746,3.868612554,90.87,87.23,4.05,2.392
N047,1/6/07,0,5,0,,0,12.37171917,31.88771828,0,0,0.996585833,91.33,81.926,3.31,1.898
N048,8/8/07,0,5,0,,0,32.53201363,62.48903545,0,0,1.026507137,88.97,78.378,2.14,1.89
F021,9/27/07,1,5,1,36.65670635,1,126.7172686,156.0157085,2,0.185612283,8.428018592,93.32,87.494,2.63,1.996
N049,2/13/08,0,5,0,,0,24.71576904,37.44727414,0,0,2.523536135,88,81.04,2.82,2.012
F022,7/1/08,1,5,1,10894.68866,0,106.1951602,162.5096753,4,0.276093842,3.906506871,86.64,83.602,2.46,2.072
F023,7/6/08,1,5,1,4893.532509,0,104.1590774,227.5531417,5,0.433268911,2.600520331,92.15,90.408,4.12,3.228
F024,9/16/08,1,5,1,1459.923644,0,96.70261169,187.7577751,5,0.323482042,3.218336827,87.7,84.62,3.97,2.578
N050,1/30/09,0,5,0,,0,24.14716564,31.04649239,0,0,1.536563235,87.68,79.404,3.29,2.22
N051,6/6/09,0,5,0,,0,12.40638571,52.03131466,0,0,0.852821288,68.22,61.09,2.04,1.828
N052,9/15/09,0,5,0,3946.458218,0,35.87154817,127.0092844,4,0.091093574,2.244882848,92.22,84.694,1.83,1.576
F025,9/23/09,1,5,1,9124.227841,0,109.6257726,159.5819632,2,0.163923337,3.365552305,94.95,88.866,3.99,2.342
N053,12/6/09,0,5,0,,0,28.94405345,68.15095405,0,0,0.752577788,92.53,85.836,3.32,1.868
N054,5/7/10,0,5,0,,0,6.051359216,20.27563118,0,0,0.340293484,68.29,62.49,2.38,2.064
N055,7/28/10,0,5,0,,0,177.4623944,275.4520315,5,0.416465346,2.461049585,91.31,88.75,1.76,1.562
F026,9/16/10,1,5,1,183.8058188,1,113.208352,173.4277111,2,0.165372846,8.084342595,93.67,88.44,4.08,2.424
F027,9/28/10,1,5,1,572.7950098,0,36.10999585,134.7124236,4,0.106501315,1.608718485,88.56,81.718,2.95,2.188
N056,6/1/11,0,5,0,,0,12.16410608,22.76171879,0,0,0.294176012,72.26,63.794,2.79,2.074
F028,7/1/11,1,5,1,118.5738502,1,136.5465736,203.8384051,5,0.394722714,4.773980717,92.6,90.26,5.31,3.838
F029,7/13/11,1,5,1,,0,37.81537615,118.092774,0,0,1.576909067,91.55,87.878,1.76,1.582
N057,5/15/12,0,5,0,,0,60.4304399,85.15994918,2,0.067074677,2.953201897,79.52,72.668,2.3,1.96
F030,8/20/12,1,5,1,117.6834706,1,35.52889779,160.7190356,5,0.130321576,2.27972608,91.83,88.962,1.8,1.492
N058,11/13/12,0,5,0,,0,32.47138085,62.72925225,0,0,2.52038628,87.43,84.918,4.25,2.464
N059,12/11/12,0,5,0,,0,26.15832886,31.56376498,0,0,2.162767011,83.99,77.64,2.87,1.878
F031,6/18/13,1,5,1,113.2091363,1,91.54486711,126.4994616,1,0.092645085,6.916570212,92.64,75.112,3.19,2.408
N060,8/5/13,0,5,0,2066.532473,0,12.57377737,38.58739576,0,0,0.90106921,79.15,77.666,1.84,1.594
N061,9/8/13,0,5,0,186.7463161,1,43.00522767,118.5058984,4,0.068223546,1.73655389,90.43,89.218,2.55,1.868
F032,9/13/13,1,5,1,263.2384549,1,106.4356648,189.6588661,5,0.364551458,4.509513202,95.47,91.25,2.86,2.442
N062,9/23/13,0,5,0,,0,64.10548195,213.770488,5,0.354727009,4.709414324,91.55,84.93,3.48,1.9
N063,4/29/14,0,5,0,,0,21.0332801,44.59742442,0,0,1.40041479,62.79,51.184,3.92,2.926
F033,5/10/14,1,5,1,,0,25.80700471,49.21039271,0,0,2.411489444,79.85,74.004,3.09,2.444
N064,9/3/14,0,5,0,162.0481893,1,38.18919847,68.47677635,0,0,1.27413823,93.69,84.678,2.71,1.692
N065,10/12/14,0,5,0,3508.146133,0,37.68428141,97.51307368,1,0.023014978,1.643005197,85.49,84.594,3.39,1.838
N066,12/26/14,0,5,0,,0,18.44978742,37.39300206,0,0,1.146662629,92.69,84.338,3.76,2.118
N067,8/2/15,0,5,0,,0,8.927301268,42.8037506,0,0,0.686022531,75.53,71.834,1.74,1.574
