event_id,center_date,is_flood_event,window_n_days,flood_label_in_window,storm_min_distance_km,storm_within_300km,rain_3day,api_k_0_90,max_percentile,duration_above_90,area_above_90,tp_6h_intensity_mm_hr_max,RH2M_max,WS2M_max,month,RH2M_max_monthly_med,WS2M_max_monthly_med
N037,1998-09-08,0,5,0,380.4676152,0,89.09269491,124.9318704,0.975465722,4,0.206785848,3.016355732,93.77,3.97,9,93.77,3.97
F009,1998-10-11,1,5,1,6439.30969,0,154.4653111,208.5987437,0.99425565,5,0.394132174,2.160825083,90.85,3.2,10,90.85,3.2
F010,1998-10-19,1,5,1,,0,62.67394203,165.6693993,0.981156386,5,0.264213239,2.990415348,92.1,2.92,10,92.1,2.92
N038,1999-01-18,0,5,0,,0,16.40963242,30.57847327,0.569442208,0,0.0,0.173428289,82.45,1.46,1,82.45,1.46
F011,1999-07-12,1,5,1,,0,54.15395231,121.9298259,0.950448274,3,0.094867665,3.276364778,89.66,2.82,7,89.66,2.82
F012,1999-09-29,1,5,1,,0,198.0187766,213.0073305,0.998496806,3,0.286310195,6.796077188,95.61,4.68,9,95.61,4.68
F013,1999-10-05,1,5,1,110.5154716,1,203.5548593,317.362526,0.999355774,5,0.437563752,4.407028398,96.06,4.49,10,96.06,4.49
N039,2000-03-10,0,5,0,,0,21.34518091,32.48512058,0.32034144,0,0.0,2.420945948,75.6,3.7,3,75.6,3.7
N040,2000-04-09,0,5,0,,0,22.75494764,36.86283004,0.42604821,0,0.0,1.898465025,77.21,3.51,4,77.21,3.51
N041,2000-11-27,0,5,0,,0,11.29758594,37.98848064,0.485155956,0,0.0,0.480023092,89.11,2.35,11,89.11,2.35
F014,2001-05-22,1,5,1,,0,51.29377792,72.05520974,0.921619155,1,0.021619155,3.715839207,80.85,2.88,5,80.85,2.88
N042,2001-08-02,0,5,0,1198.623503,0,17.60353723,55.44605836,0.520427337,0,0.0,1.282674532,79.55,2.26,8,79.55,2.26
N043,2002-07-23,0,5,0,,0,33.90956087,84.73888083,0.854727009,0,0.0,1.348799703,87.19,2.04,7,87.19,2.04
N044,2002-08-28,0,5,0,8142.386121,0,8.221272419,29.03358026,0.234820422,0,0.0,0.377239464,82.3,1.79,8,82.3,1.79
N045,2003-01-08,0,5,0,,0,19.659449,28.41835255,0.502496376,0,0.0,1.132245013,87.79,2.59,1,87.79,2.59
F015,2003-04-08,1,5,1,,0,46.88663957,55.86872727,0.814946046,0,0.0,4.644295108,71.3,4.48,4,71.3,4.48
N046,2003-08-11,0,5,0,,0,8.048233257,24.42410616,0.139206528,0,0.0,0.887356985,78.62,1.87,8,78.62,1.87
F016,2003-09-28,1,5,1,521.4643558,0,190.7008811,227.520227,0.999463145,3,0.285451227,7.103343582,93.62,3.63,9,93.62,3.63
F017,2004-02-24,1,5,1,,0,5.698036684,15.84263177,0.057014012,0,0.0,0.423408405,76.75,2.84,2,76.75,2.84
F018,2004-04-24,1,5,1,,0,23.2613017,40.327171,0.540290975,0,0.0,1.465296882,77.17,2.65,4,77.17,2.65
F019,2004-04-29,1,5,1,,0,115.0394205,129.1469176,0.996564127,4,0.235185483,8.547824288,84.24,4.02,4,84.24,4.02
F020,2006-10-22,1,5,1,,0,80.20548002,138.8069707,0.984914372,3,0.209056746,3.868612554,90.87,4.05,10,90.87,4.05
N047,2007-01-06,0,5,0,,0,12.37171917,31.88771828,0.416706931,0,0.0,0.996585833,91.33,3.31,1,91.33,3.31
N048,2007-08-08,0,5,0,,0,32.53201363,62.48903545,0.757878349,0,0.0,1.026507137,88.97,2.14,8,88.97,2.14
F021,2007-09-27,1,5,1,36.65670635,1,126.7172686,156.0157085,0.99785258,2,0.185612283,8.428018592,93.32,2.63,9,93.32,2.63
N049,2008-02-13,0,5,0,,0,24.71576904,37.44727414,0.602512482,0,0.0,2.523536135,88.0,2.82,2,88.0,2.82
F022,2008-07-01,1,5,1,10894.68866,0,106.1951602,162.5096753,0.991195576,4,0.276093842,3.906506871,86.64,2.46,7,86.64,2.46
F023,2008-07-06,1,5,1,4893.532509,0,104.1590774,227.5531417,0.99318194,5,0.433268911,2.600520331,92.15,4.12,7,92.15,4.12
F024,2008-09-16,1,5,1,1459.923644,0,96.70261169,187.7577751,0.990712407,5,0.323482042,3.218336827,87.7,3.97,9,87.7,3.97
N050,2009-01-30,0,5,0,,0,24.14716564,31.04649239,0.499651044,0,0.0,1.536563235,87.68,3.29,1,87.68,3.29
N051,2009-06-06,0,5,0,,0,12.40638571,52.03131466,0.514844044,0,0.0,0.852821288,68.22,2.04,6,68.22,2.04
N052,2009-09-15,0,5,0,3946.458218,0,35.87154817,127.0092844,0.934449992,4,0.091093574,2.244882848,92.22,1.83,9,92.22,1.83
F025,2009-09-23,1,5,1,9124.227841,0,109.6257726,159.5819632,0.993504053,2,0.163923337,3.365552305,94.95,3.99,9,94.95,3.99
N053,2009-12-06,0,5,0,,0,28.94405345,68.15095405,0.825575777,0,0.0,0.752577788,92.53,3.32,12,92.53,3.32
N054,2010-05-07,0,5,0,,0,6.051359216,20.27563118,0.112310088,0,0.0,0.340293484,68.29,2.38,5,68.29,2.38
N055,2010-07-28,0,5,0,,0,177.4623944,275.4520315,0.992537714,5,0.416465346,2.461049585,91.31,1.76,7,91.31,1.76
F026,2010-09-16,1,5,1,183.8058188,1,113.208352,173.4277111,0.994685134,2,0.165372846,8.084342595,93.67,4.08,9,93.67,4.08
F027,2010-09-28,1,5,1,572.7950098,0,36.10999585,134.7124236,0.936812154,4,0.106501315,1.608718485,88.56,2.95,9,88.56,2.95
N056,2011-06-01,0,5,0,,0,12.16410608,22.76171879,0.103398293,0,0.0,0.294176012,72.26,2.79,6,72.26,2.79
F028,2011-07-01,1,5,1,118.5738502,1,136.5465736,203.8384051,0.993289311,5,0.394722714,4.773980717,92.6,5.31,7,92.6,5.31
F029,2011-07-13,1,5,1,,0,37.81537615,118.092774,0.890481559,0,0.0,1.576909067,91.55,1.76,7,91.55,1.76
N057,2012-05-15,0,5,0,,0,60.4304399,85.15994918,0.952005154,2,0.067074677,2.953201897,79.52,2.3,5,79.52,2.3
F030,2012-08-20,1,5,1,117.6834706,1,35.52889779,160.7190356,0.948730338,5,0.130321576,2.27972608,91.83,1.8,8,91.83,1.8
N058,2012-11-13,0,5,0,,0,32.47138085,62.72925225,0.845707843,0,0.0,2.52038628,87.43,4.25,11,87.43,4.25
N059,2012-12-11,0,5,0,,0,26.15832886,31.56376498,0.440221184,0,0.0,2.162767011,83.99,2.87,12,83.99,2.87
F031,2013-06-18,1,5,1,113.2091363,1,91.54486711,126.4994616,0.992645085,1,0.092645085,6.916570212,92.64,3.19,6,92.64,3.19
