rp,total_impact,aep
2.01,23095.210632517403,0.49751243781094534
2.032343943522712,23235.55710154094,0.49204269936055967
2.054936271031566,23376.756437060514,0.4866330961679925
2.077779743659776,23518.813821830423,0.48128296709573853
2.1008771532343875,23661.734470099742,0.47599165827495366
2.1242313226174843,23805.523627803956,0.4707585230255418
2.1478451060511863,23950.18657275734,0.46558292177712024
2.17172138950648,24095.728614846783,0.460464221990855
2.1958630910359322,24242.15509622651,0.4554017980821539
2.2202731611303177,24389.471391514417,0.45039503134421105
2.2449545830792177,24537.682907989187,0.44544330987239084
2.269910373335623,24686.795085788846,0.440546028489444
2.295143581884593,24836.81339811027,0.4357025886715453
2.320657292616008,24987.743351410347,0.4309123984751448
2.3464546237014714,25139.590485607907,0.4261748724646232
2.3725387279753978,25292.36037428717,0.42148943164074226
2.3989127933203376,25446.058624902133,0.4168555033698824
2.425580043056587,25600.69087898267,0.41227252131405784
2.452543736336126,25756.26281234147,0.4077399253617012
2.4798071685409395,25912.780135282217,0.4032571615592097
2.5073736716857633,26070.248592809497,0.39882368204324237
2.535246614825306,26228.673964839447,0.39443894497376386
2.5634294044660044,26388.062066412032,0.39010241446782223
2.591925484982346,26548.418747904274,0.38581356053405647
2.620738339037831,26709.7498952453,0.3815718590079224
2.6498714880106005,26872.06143013217,0.3773767914876329
2.679328492423811,27035.359310247353,0.3732278452708
2.7091129523807815,27199.649529477203,0.36912451329177515
2.7392285080049823,27364.93811813225,0.36506629405967805
2.7696788398849157,27531.231143168363,0.36105269159710646
2.8004676695239397,27698.53470840952,0.3570832153795202
2.8315987597950962,27866.854954771676,0.3531573802752913
2.8630759154009877,28036.198060488437,0.3492747064864136
2.8949029833387776,28206.570241337708,0.34543471948986365
2.9270838533703456,28377.97775086968,0.341636949979607
2.9596224584976834,28550.426880636674,0.3378809338092414
2.992522775443565,28723.923960423872,0.3341662119352711
3.0257888251375653,28898.47535848176,0.3304923303610045
3.059424673207479,29074.087481759656,0.32685884008106897
3.0934344304762047,29250.766776141205,0.32326529702653484
3.127822253464152,29428.519726680755,0.31971126201064387
3.1625923448972286,29607.352857841517,0.3161963006751336
3.197748954220485,29787.27273373481,0.3127199834371519
3.2332963781174566,29968.285958361335,0.3092818854367556
3.269238961035291,30150.39917585341,0.30588158648498537
3.3055810957156995,30333.619070718683,0.302518671012513
3.3423272237318264,30517.952368085815,0.29919272801885166
3.379481836031074,30703.40583395111,0.2959033510221255
3.4170494734839645,30889.986275426967,0.29265013800939127
3.4550347274391076,31077.700540991522,0.28943269138750627
3.493442240284335,31266.555520740352,0.2862506179345358
3.5322767060140716,31456.558146639156,0.2831035287516958
3.5715428708030115,31647.71539277831,0.27999103921582325
3.6112455335861786,31840.034275628615,0.27691276893236927
3.6513895466454307,32033.5218542992,0.2738683416889086
3.6919798162024793,32228.18523079637,0.27085738540916143
3.733021303018509,32424.031550284435,0.26787953210751925
3.7745190230004617,32621.068001347718,0.2649344178440713
3.8164780478140563,32819.30181625477,0.26202168268012566
3.8589035055036227,33018.740271223665,0.25914097063421926
3.901800581118829,33219.390686688894,0.25629192963861136
3.9451745173483843,33421.2604275704,0.253474211496255
3.98903061516076,33624.35690354371,0.25068747183824247
4.033374234452063,33828.68756931199,0.24793137008171787
4.078210794701097,34034.25992487946,0.24520556938825244
4.123545775631703,34241.08151582701,0.24250973662267783
4.1693847178824655,34449.15993358897,0.23984354231237193
4.21573322368387,34658.50281573184,0.237206660606992
4.26259695754298,34869.11784623438,0.23459876923865067
4.3099816469357295,35081.012755770054,0.23201954948252984
4.357893083006902,35294.19532199051,0.22946868611792795
4.406337121277907,35508.67336981119,0.2269458673897344
4.4553196823624175,35724.45477169832,0.22445078497032867
4.5048467526899465,35941.547447958204,0.22198313392189806
4.554924385237497,36159.95936702779,0.21954261265916916
4.605558700269322,36379.698545766936,0.21712892291254965
4.6567558860849205,36600.77304975307,0.21474176969167502
4.708522199775339,36823.19099357698,0.21238086124935626
4.7608639679878815,37046.96054114073,0.21004590904592413
4.813787587699343,37272.089905957364,0.20773662771396414
4.867299526997795,37498.58735145214,0.2054527350234415
4.9214063258730985,37726.46119126623,0.20319395184720734
4.976114597016195,37955.719789561685,0.20096000212688542
5.031431026627277,38186.37156132823,0.19875061283913312
5.0873623752329395,38418.424972692555,0.19656551396227442
5.143915478512429,38651.88854122878,0.19440443844329855
5.201097248133068,38886.77083627122,0.1922671221652219
5.258914672594967,39123.08047922871,0.19015330391480917
5.317374818085128,39360.82614390139,0.18806272535064888
5.37648482934104,39600.01655679893,0.18599513097158007
5.436251930523883,39840.6604974606,0.1839502680854659
5.496683426101426,40082.766798777964,0.1819278867783112
5.557786701740747,40326.34434731878,0.17992773988371868
5.619569225210884,40571.40208365336,0.17794958295268146
5.682038547295503,40817.94900268245,0.17599317422370764
5.7452023027157235,41065.994153967775,0.1740582745932734
5.809068211063203,41315.54664206405,0.1721446475866007
5.87364407774359,41566.61562685291,0.17025205932875634
5.938937794930463,41819.21032387956,0.168380278516069
6.004957342529878,42073.34000469076,0.1665290763878602
6.07171078915564,42329.013997175214,0.1646982266984862
6.139206293115409,42586.241685906,0.16288750568968727
6.207452103407772,42845.03251248477,0.1610966920632411
6.2764565607304,43105.39597588872,0.15932556695391653
6.346228098499411,43367.34163281905,0.15757391390272493
6.4167752438800685,43630.87909805152,0.1558415188304654
6.48810661882892,43896.0180447898,0.15412817001156132
6.560230941147551,44162.76820502024,0.15243365804818368
6.633157025548022,44431.139369869226,0.15075777584465994
6.706893784730175,44701.14138996226,0.1491003185821633
6.78145023047089,44972.784175786,0.14746108369368097
6.856835474725478,45246.07769805179,0.14583987083925712
6.933058730741297,45521.031988061404,0.1442364818815083
7.010129314183748,45797.6571380757,0.1426507208614081
7.0880566442748085,46075.96330168478,0.1410823939743376
7.16685024494419,46355.96069418072,0.13953130954639992
7.2465197459933295,46637.65959293266,0.13799727801099412
7.32707488427228,46921.070337763624,0.1364801118856477
7.408525504869725,47206.20333133071,0.13497962574910302
7.490881562316181,47493.06903950621,0.1334956362186562
7.574153121800617,47781.67799176235,0.13202796192774463
7.658350360400561,48072.040781557465,0.13057642350378132
7.743483568325899,48364.16806672489,0.12914084354623287
7.829563150176508,48658.070569864256,0.12772104660493813
7.916599626213846,48953.75907873473,0.12631685915866572
8.004603633646704,49251.24444665148,0.1249281095939068
8.09358592793123,49550.53759288382,0.12355462818390144
8.183557384085416,49851.6495030557,0.12219624706789524
8.274528998018189,50154.59122954951,0.1208528002306243
8.366511887873294,50459.373891911346,0.11952412348202528
8.45951729538809,50766.00867725941,0.11821005443716913
8.55355658726747,51074.506840694215,0.11691043249641506
8.648641256573057,51384.87970571227,0.11562509882578256
8.744782924127815,51697.13866462136,0.11435389633753976
8.841993339936318,52011.295178958855,0.11309666967100455
8.94028438462076,52327.36077991208,0.11185326517355736
9.039668070872976,52645.34706874208,0.11062353088186216
9.14015654492255,52965.26571720912,0.10940731650329448
9.241762088021304,53287.12846800126,0.10820447339757301
9.344497117944234,53610.947135165,0.10701485455859368
9.448374190507163,53936.733604539484,0.10583831459646315
9.553406001101266,54264.4998341925,0.10467470971972984
9.65960538624462,54594.257854859105,0.10352389771781056
9.766985325151056,54926.01977038379,0.10238573794360994
9.875558941316394,55259.79775816437,0.10126009129633141
9.98533950412236,55595.60406959917,0.10014682020447666
10.096340430458284,55933.4510305363,0.09904578860903256
10.208575286360889,56273.35104172667,0.09795686194684233
10.322057788672232,56615.3165792788,0.09687990713416011
10.43680180671614,56959.3601951169,0.09581479255038593
10.552821363993264,57305.49451744125,0.09476138802197943
10.670130639894918,57653.732251192276,0.09371956480655126
10.7887439714361,58004.08617851653,0.09268919557712788
10.908675855007626,58356.569159236016,0.09167015440659099
11.029940948147852,58711.19413131985,0.09066231675228688
11.152554071334055,59067.97411135972,0.0896655594408054
11.276530209793698,59426.9221950474,0.08867976065292649
11.401884515335876,59788.05155765509,0.08770479990873176
11.528632308203116,60151.37545451966,0.08674055805287997
11.656789078943715,60516.90722152873,0.08578691724004459
11.786370490304947,60884.66027561035,0.08484376092051109
11.917392379147309,61254.64811522551,0.08391097382593272
12.049870758379974,61626.88432086318,0.0829884419552433
12.183821818917897,62001.382555539596,0.0820760525607239
12.31926193166053,62378.15656529883,0.08117369413422389
12.456207649492622,62757.220179718126,0.08028125639353266
12.59467570930727,63138.58731241511,0.07939863026890129
12.734683034051368,63522.27196155868,0.07852570788971286
12.876246734793892,63908.28821038239,0.07766238257129879
13.019384112817146,64296.650227702,0.0768085488019002
13.164112661731219,64687.37226843516,0.07596410222977304
13.31045006961198,65080.46867412484,0.07512893965043449
13.458414221162878,65475.95387346527,0.07430295899404965
13.608023199900646,65873.84238283226,0.07348605931295746
13.759295290365484,66274.14880681553,0.07267814076933277
13.912248980355665,66676.88783875506,0.07187910462298491
14.066902963186989,67082.07426127992,0.07108885321929033
14.223276139977498,67489.72294685153,0.0703072899772571
14.381387621957398,67899.8488583093,0.06953431937772175
14.541256732804777,68312.46704941937,0.06876984695167512
14.70290301100729,68727.592665428,0.0680137792687167
14.866346212250008,69145.2409436169,0.06726602392563619
15.031606311829902,69565.42721386268,0.06652648953512029
15.198703507097152,69988.1668991997,0.06579508571458363
15.367658219923534,70413.47551638559,0.06507172307512288
15.538491099198309,70841.3686764716,0.06435631321059185
15.711223023351877,71271.86208537525,0.06364876868679681
15.885875102907347,71704.9715444564,0.06294900303081102
16.06246868306069,72140.71295109803,0.06225693072040598
16.24102534628937,72579.10229928921,0.06157246717359952
16.42156691499007,73020.15568021232,0.06089552873831862
16.60411545414578,73463.88928283384,0.06022603268217556
16.78869327402241,73910.319394498,0.05956389718235704
16.975322932895484,74359.46240152551,0.05890904131562402
17.164027239807137,74811.33478981406,0.058261385048421564
17.354829257353675,75265.95314544426,0.0576208492270977
17.54775230450423,75723.33415528797,0.05698735556822944
17.742819959450696,76183.49460762106,0.056360826649055354
17.940056062489305,76646.45139273907,0.055741185898013475
18.139484718934355,77112.22150357795,0.055128357585382794
18.34113030206419,77580.82203633734,0.05452226681402812
18.545017456100016,78052.27019110828,0.05392283951024645
18.751171099217835,78526.58327250404,0.05333000241471387
