candidate,n_non_missing,corr_with_rain_3day,abs_corr_with_rain_3day,selected
tp_6h_max_mm,18625,0.7029876072631431,0.7029876072631431,True
tp_12h_max_mm,18625,0.7722241028150374,0.7722241028150374,False
tp_6h_intensity_mm_hr,18625,0.7029876072631431,0.7029876072631431,False
tp_12h_intensity_mm_hr,18625,0.7722241028150373,0.7722241028150373,False
