event_id,center_date,is_flood_event,flood_label_in_window,flow_raw_max,flow_raw_mean,flow_pct_max,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_14day_max,rain_1day_max,rain_1day_sum,rain_before_peak,storm_wind_max,storm_wind_mean
F001,1975-09-09,1,1,1.987115118430119,2.4840246494516873,0.9965727398979789,1.915635975587505,1.7258109281607275,2.306574364275669,1.2097756874438947,1.8388241183182805,1.1049289623941159,2.8419804518925096,4.50573880774481,-0.12383011489704271,-0.14056531432160127
F002,1976-07-20,1,1,-0.23693241924463607,0.013331467297907016,0.6992281135443227,-0.19816923885387983,-0.504351994752964,-0.5668582795189304,0.6196412057639462,0.5308722792402834,-0.3651854163876935,-0.2211542632626122,-0.27312401919683593,-0.12383011489704271,-0.14056531432160127
N001,1977-03-29,0,0,-0.6887273122554785,-0.7468375663043929,-1.1179974238876982,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-1.0037094744239987,-0.864805006753406,-0.9117113647149612,-0.305625134949775,-0.12383011489704271,-0.14056531432160127
F003,1977-11-20,1,1,-0.2585555956915187,-0.42806367812232893,0.6802296021558428,-0.19816923885387983,-0.6468458282845223,-0.6090923764492713,1.2097756874438947,-0.1999666438169337,0.033802318739571915,-0.2947135413214739,-0.7238784029662944,-0.12383011489704271,-0.14056531432160127
N002,1978-04-06,0,0,-0.6760225762485803,-0.7207451324540254,-0.9540008397324267,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-0.6031559752644068,-0.773635161215303,-0.7947855442017933,-0.305625134949775,-0.12383011489704271,-0.14056531432160127
N003,1978-06-21,0,0,-0.37202677723766336,-0.20925231926782117,0.5432969351671791,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,1.1464772468217144,-0.46305015997283355,-0.2932224897749497,-0.305625134949775,-0.12383011489704271,-0.14056531432160127
N004,1978-11-23,0,0,-0.5568532194101338,-0.5422494634156976,0.019762484546907443,-0.726620542464226,-0.736509400893528,-0.635667982725249,-1.1507622392759,-0.7448228196542456,-0.680848182143407,-0.670204075238821,-0.305625134949775,-0.12383011489704271,-0.14056531432160127
N005,1979-05-12,0,0,-0.524811011088111,-0.5941931734488906,0.163505938637102,-0.726620542464226,-0.736509400893528,-0.635667982725249,1.2097756874438947,-0.5802036632083495,-0.3741246173050054,-0.29738579795084413,-0.3247163999656818,-0.12383011489704271,-0.14056531432160127
N006,1979-07-11,0,0,-0.6217508466636786,-0.6102788639315034,-0.3917524413771403,-0.726620542464226,-0.736509400893528,-0.635667982725249,1.2097756874438947,-0.573260015698557,-0.42849027078114127,-0.34256752884257763,-0.36143323271996436,-0.12383011489704271,-0.14056531432160127
F004,1979-09-07,1,1,0.4340294520924546,0.569885133536708,0.9315117999544121,0.8587333683668126,1.2378367623875686,1.0107047712922863,0.6196412057639462,0.7567795141890635,0.6952104526572702,0.6761982102352172,0.6573061177393962,-0.12383011489704271,-0.14056531432160127
N007,1979-09-13,0,1,-0.1782159256123196,-0.04793297893969647,0.7443943859018397,-0.19816923885387983,-0.1655930697534182,-0.4664526905901978,-1.1507622392759,0.5317896498446296,-0.676395057540028,-0.6191823715792849,-0.305625134949775,-0.12383011489704271,-0.14056531432160127
