event_id,center_date,is_flood_event,flood_label_in_window,flow_raw_max,flow_raw_mean,flow_pct_max,flow_pct_mean,duration_above_90,max_exceedance_90,area_above_90,days_to_peak_flow,rain_14day_max,rain_1day_max,rain_before_peak,storm_wind_max,storm_wind_mean
F001,1975-09-09,1,1,1.4236493332373201,1.9607798033652923,0.8174551021325196,1.076227894720795,1.5830577598835847,1.2730597250521103,1.85637465211922,1.1425626771474469,1.4575172361029136,0.6416500359529966,3.5151466757825562,-0.17099489896397088,0.002997990743604113
F002,1976-07-20,1,1,-0.4767800833088002,-0.22371811331934732,0.5087589802873647,0.7723553102242329,-0.39576443997089616,-0.7433340089283225,-0.7445010225020067,0.5331959160021419,0.25344923282094256,-0.574240409898721,-0.43459300764617315,-0.17099489896397088,0.002997990743604113
F003,1977-11-20,1,1,-0.49525690086899765,-0.6139838017382843,0.4890351774449373,0.02934295604869841,-0.39576443997089616,-0.8721692927148984,-0.7827290406819138,1.1425626771474469,-0.4193429423302202,-0.24424882410438953,-0.8071424072683172,-0.17099489896397088,0.002997990743604113
N001,1978-04-09,0,0,-0.8690241301278333,-0.8938520710579486,-1.4878108734790694,-1.2968172498678316,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,1.1425626771474469,-0.7905090348086465,-0.7234691964333604,-0.9174931688503201,-0.17099489896397088,0.002997990743604113
N002,1979-05-16,0,0,-0.7227698542402257,-0.6088811892498887,-0.04741504514673328,0.25144119948972515,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-1.294904367433773,-0.6225789067423175,-0.5816337727185004,-0.3055314965866405,-0.17099489896397088,0.002997990743604113
N003,1979-07-14,0,0,-0.7911469538315953,-0.7488345234373541,-0.4876652104786422,-0.256686640602707,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,-0.07617084514316312,-0.6615832289446474,-0.6265980827056551,-0.6251664447165872,-0.17099489896397088,0.002997990743604113
F004,1979-09-07,1,1,0.09655104206947093,0.26836659116913836,0.7499103810777931,0.7791818784483922,0.5936466599563442,0.8318596494433715,0.683423649021785,0.5331959160021419,0.461413826917521,0.3027833268943186,0.3344093612431101,-0.17099489896397088,0.002997990743604113
N004,1979-09-17,0,0,1.046482160769809,1.3441592557947435,0.8109425257222841,0.9719511621115505,1.0883522099199645,1.2305197728584292,1.4096478019357268,1.1425626771474469,1.3089044381773567,0.4805141057205659,2.5926936866750085,-0.17099489896397088,0.002997990743604113
N005,1979-10-22,0,0,-0.7551721376904251,-0.8352986631990148,-0.22437104989341372,-1.2220139546708295,-0.8904699899345164,-0.9532382873239957,-0.8067838408007791,1.1425626771474469,-1.1118725018845819,-0.27556011503114936,-0.3754753305844421,-0.17099489896397088,0.002997990743604113
F005,1981-06-16,1,1,1.211590445747468,0.7903609147196805,0.8141057771215414,0.9023490617520031,1.0883522099199645,1.2511820353525034,0.6786271146652499,1.1425626771474469,0.7622974298472378,0.937215411080233,1.4673694606546217,-0.18120354964838684,-0.2871301457342243
N006,1981-07-12,0,0,-0.19898408897389122,0.013214874310552948,0.6835751384992531,0.8830432378588123,1.5830577598835847,0.39855985067060196,-0.0725173784018206,1.1425626771474469,-0.09668146065814015,-0.23454998726533038,0.028274778557920315,-1.5083281386224894,-1.3470649376665578
